title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2010-02-01,2010-07-31
---------
Day,"[PSC POPLE] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[NCSA ABE] XSEDE Utilization (%)","[NICS ATHENA] XSEDE Utilization (%)","[LONI QUEENBEE] XSEDE Utilization (%)","[TACC LONESTAR] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NCSA LINCOLN] XSEDE Utilization (%)","[PSC BIGBEN] XSEDE Utilization (%)","[NCAR FROST] XSEDE Utilization (%)","[NCSA DTF] XSEDE Utilization (%)","[ORNL NSTG] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[TACC SPUR] XSEDE Utilization (%)","[NCSA COBALT] XSEDE Utilization (%)","[IU BIGRED*] XSEDE Utilization (%)","[SDSC DASH] XSEDE Utilization (%)"
2010-03-30,99.647509223,79.506868867,68.947122687,85.724797483,0,71.200165762,38.802411886,38.265302818,16.764268663,94.902823764,36.401557058,57.707019310,3.432991071,7.139996541,11.333465833,15.111546224,3.674752197,1.924516873,0
2010-03-31,100.614654948,80.134196996,47.162164869,81.429712240,0,77.191133202,32.402511558,36.130960771,25.998818631,38.249585825,33.796838837,35.250563447,3.594203869,3.200389608,6.994468839,13.631653646,6.119737549,2.888147380,0
2010-04-01,104.268523220,80.978260667,75.195008385,80.850734939,15.750511506,74.642167618,33.689944278,33.551422289,22.338685981,0,16.249683584,0.460606884,3.669434524,2.808168742,11.094975952,12.702981771,4.084211019,2.145489638,0
2010-04-02,105.789965820,82.114010754,75.481810955,35.410369314,91.106792350,71.256615285,27.695121575,36.380398703,6.930362413,0,17.711244914,0,0.013891369,0.177413330,9.302577321,4.310185547,2.843276367,1.865691054,0
2010-04-03,97.306628689,82.368010856,65.597627584,18.026722569,89.232003246,55.082047546,28.817676227,36.569149053,6.250000000,0,30.093361155,0,0.008348214,2.019512939,7.054047887,3.368776042,3.942941081,1.393152398,0
2010-04-04,96.608731011,74.520930374,58.994387792,12.210038628,90.934475911,84.881670721,28.022205908,33.550354318,6.250000000,0,26.791531016,0,0.008311012,1.026602173,7.038798780,0,4.428939616,2.036685927,0
2010-04-05,96.596094293,79.730002111,51.582866945,30.877483464,91.362198512,71.741080573,23.214701555,29.301716650,7.919427626,0,3.062237803,0,3.384590774,4.151104940,8.109556339,4.780234375,6.993399251,2.243323568,0
2010-04-06,106.648598633,82.301692212,47.908784538,87.928681467,87.002507942,61.780836140,15.562043522,29.645304276,17.106016981,0,0.985957438,0,3.759672619,0.816184692,8.651354554,11.770250651,8.338756510,1.962501628,0
2010-04-07,96.245751411,78.932676893,87.553357367,68.139429818,74.988181470,65.306146379,24.883049872,32.957007570,19.727176921,0,2.112946676,0,3.975982143,7.268532104,8.612966488,10.132089844,7.690933024,3.505610487,0
2010-04-08,91.645978190,70.211531212,86.389490826,57.970037934,91.920488004,60.953564122,30.870421019,35.178897968,18.880654297,0,1.356436259,0,5.196101190,5.755918172,8.451550238,11.285875651,7.658574626,2.597596029,0
2010-04-09,103.556141493,71.731009829,72.235729831,56.497609115,92.998294686,55.025071420,26.210304580,33.991063480,16.184889594,0,0.001853638,0,3.722098214,9.190058797,7.190423929,13.912467448,5.657719320,2.794535862,0
2010-04-10,106.735773112,61.535630326,71.398508853,46.735109809,92.153438308,47.545577595,27.462683790,30.829473218,9.885344510,0,0,0,0.020379464,14.305248210,7.224269464,9.436634115,7.401129557,2.793515625,0
2010-04-11,103.468865560,58.721756456,55.328223166,26.716409288,90.267778724,40.490548278,37.416846390,34.284640666,6.691611328,0,0.002721710,0,0.020126488,1.877784831,7.046890625,4.847513021,7.064162598,3.995311415,0
2010-04-12,102.000951063,66.389387657,67.920893403,16.114807031,43.576335536,48.199349738,35.109468964,33.106713443,3.275170627,0,0.003517456,0,4.244248512,1.372752889,8.416751161,0.996240234,6.994145915,4.233040229,0
2010-04-13,99.542076280,73.596891944,50.937209297,81.035402083,58.460068382,46.486706977,39.163901755,35.054921962,42.887357856,0,0.174099375,0,3.438950893,27.905757039,7.725332262,10.485677083,6.546628825,4.025135769,0
