Day,[SDSC TRESTLES] XSEDE Utilization (%),[NICS KRAKEN] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[TACC RANGER] XSEDE Utilization (%),[PURDUE STEELE] XSEDE Utilization (%),[NCSA FORGE] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[TACC LONGHORN] XSEDE Utilization (%),[PURDUE CONDOR] XSEDE Utilization (%),[LONI QUEENBEE] XSEDE Utilization (%),[TACC SPUR] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[SDSC DASH] XSEDE Utilization (%)
2012-03-23,132.907301254,59.213022169,1.713891739,90.395055542,78.790766264,74.294789684,34.714656395,16.872294836,3.898708496,10.342357178,0.126545714,15.348828359,2.125289714,0,0
2012-03-24,137.188503890,84.276647936,65.777838560,90.787882284,79.704905500,78.435480765,40.749783709,21.712200311,1.368715820,8.087054036,0.112007262,14.415349847,0.112122396,0,0
2012-03-25,134.096621645,95.566853103,81.771174762,90.020308634,82.065580195,78.202217479,47.227317708,24.268912685,2.270372721,6.426242472,0.000541339,10.329157544,0,0,0
2012-03-26,127.358658969,93.538316467,36.266064361,79.209499613,70.309653810,65.294093762,58.909403935,22.834393322,27.048349202,8.852167969,0.032293095,7.806002604,3.068141276,0,0
2012-03-27,84.203035381,91.771355329,46.408378805,77.807490540,77.328359712,61.203361037,52.593857060,27.750833251,58.363424886,7.939123332,0.242956994,16.969363383,28.022132161,0,0
2012-03-28,128.682566895,93.272039945,82.496155912,70.728334859,83.249242846,60.567691536,47.986840278,33.255835721,68.605893962,6.684570109,0.496752411,27.768684896,52.309899089,0,0
2012-03-29,104.982036302,94.336777894,83.578729237,84.654888407,81.048807264,68.523137890,34.869191262,30.061706735,85.161386312,3.413520101,1.099847946,18.007485030,51.871816406,0,0
2012-03-30,91.963499412,78.844327069,22.125192830,82.929090271,82.218164519,66.388702466,40.721164641,34.960810671,40.619990234,5.748444621,0.834165030,6.351782529,21.098238932,0,0
2012-03-31,117.026502448,6.660030762,0.307909926,68.582813416,79.265937043,69.999799774,45.619068287,23.828183459,0,5.843930868,0.140069613,1.628978137,0.648437500,0,0
2012-04-01,105.909088921,48.163077438,41.676504292,73.971761068,77.985203993,70.544315101,17.230766059,5.287840089,0,10.612137451,0.200659048,0,0.067998047,0,0
2012-04-02,123.448294719,94.169787622,115.122425857,79.195981547,78.239269907,70.573180000,10.234366319,47.320475110,0,35.100120239,0.071047262,0,0,0,0
2012-04-03,140.611961140,95.924131129,114.965891072,77.825186259,84.622325893,70.788632302,7.452797309,16.403646922,52.351101074,28.607918701,0.684845655,0,0.958333333,0,0
2012-04-04,134.247320740,90.767010128,107.557695395,76.405729777,84.536396868,70.728629678,2.087399450,21.726656252,9.414921468,34.614384562,0.003368125,0,2.407115885,0,0
2012-04-05,127.417146451,96.245114851,42.147105715,71.107955526,81.180592587,69.887447042,49.789900897,18.781815362,5.818504232,28.743159587,0.691311012,0,2.263313802,0,0
2012-04-06,122.616129873,98.487037465,34.460182503,86.898202413,79.071270788,71.293689343,54.295754485,23.614475239,7.694208984,15.900522054,0.766449226,0,0.077692057,0,0
2012-04-07,123.157734995,97.792171803,41.684933443,85.063507894,83.485778193,67.529152552,35.291428675,22.507642568,4.603063151,30.465928752,0.618939851,0,0.217304688,0,0
2012-04-08,110.391904119,92.497317553,118.615232398,79.867337036,56.804660162,58.737128593,17.632700376,14.534579023,11.665066325,25.899233195,0.086561726,0,1.195602214,0,0
2012-04-09,104.737939310,84.282534479,91.855581993,88.030865885,70.215227779,69.671647536,43.055557726,23.738300774,22.080476074,25.745135701,4.626905417,0,0.461949870,0,0
2012-04-10,124.592984366,88.115406835,87.627306922,89.933571167,81.572638386,71.823377485,39.176328125,49.798291560,59.341842448,26.051617432,12.370417054,0,2.398004557,0,0
2012-04-11,120.301303059,90.732973138,100.173440626,79.778396810,80.372135661,69.020203551,33.459392361,48.355723873,76.467456868,4.331506551,6.806398304,0,3.705003255,0,0
2012-04-12,123.678376690,86.402450648,71.562337423,87.233945618,80.080256606,63.861614992,24.860474537,30.508181236,49.114213460,26.902081299,11.020674018,0,4.503906250,0,0
2012-04-13,125.611590781,84.802449315,0.235850878,73.565768840,78.815741671,55.376628873,18.664463252,28.598866046,21.804570313,28.948350627,11.411072411,0,0.940683594,0,0
2012-04-14,116.129157366,78.601029048,60.864585632,62.909356079,83.265247184,55.187956735,44.115588108,28.620110317,7.501772868,32.796449788,11.401022054,0,0,0,0
2012-04-15,113.055107060,97.685763494,120.774045231,44.017483215,68.905862438,49.511607468,55.418901910,11.563063973,25.241681722,34.104098714,14.659810298,0,0,0,0
2012-04-16,112.877749704,96.662370342,43.047967886,39.453125000,41.124303604,31.666782673,35.331275318,30.848133042,51.142596029,10.169944458,9.828926815,0,0.518951823,0,0
2012-04-17,122.079819144,95.980080498,88.834233665,53.998657430,40.338666939,58.006254083,35.900419560,38.103500569,42.260281169,4.293203939,6.677949940,0,0,0,0
2012-04-18,123.663389240,95.816606903,106.002979619,67.347313131,83.100652054,39.147176185,36.779435041,49.922916066,32.218135579,17.603289591,12.351381548,0,4.736979167,0,0
2012-04-19,123.062732056,93.420576744,104.791188500,48.181111857,83.805940252,51.371520682,30.859202112,50.917237060,33.753064372,21.956972656,17.250470089,0,3.768085938,0,0
2012-04-20,124.206932101,92.785256257,116.061536633,55.881795349,82.664605935,71.833064051,20.572451534,39.419907983,12.047056071,39.583387655,22.145317887,0,1.261718750,0,0
2012-04-21,115.082959817,95.670656700,52.006691706,57.007052816,79.168352832,76.438443974,29.354203559,16.738015164,1.575258382,36.539383545,19.218024315,0,2.091435547,0,0
2012-04-22,108.037749509,95.261809567,72.335507702,45.996138916,72.661158153,81.863738627,50.643245804,20.766089853,4.434579264,23.568237305,9.079228065,0,0,0,0
2012-04-23,101.473701361,90.087977630,53.861996592,79.602982178,40.173358270,81.875324981,41.156171875,34.374424275,13.511365967,23.014395142,8.880865327,0,0,0,0
2012-04-24,115.619987209,87.771379832,0,67.164265238,0,78.613548899,39.072235243,58.734147286,10.145661214,0,6.789382827,0,0,0,0
2012-04-25,135.139011232,87.833606044,0,70.134634094,0,78.915659295,16.413830295,53.374448454,33.764277344,0,6.893714107,0,0,0,0
2012-04-26,128.955427931,86.662179107,0,75.860514730,0,72.722324678,42.748600260,48.397399513,22.297815348,0,3.414483690,0,0,0,0
2012-04-27,129.493507783,92.142933681,0,86.971127930,0,76.046611550,56.989258536,57.827474747,21.917716064,0,0.257570119,0,0,0,0
2012-04-28,131.953767602,81.285208787,0,80.918504537,0,67.971636571,33.967577402,48.510575410,48.867195231,0,0.197640000,0,0,0,0
2012-04-29,132.971459344,70.513408236,0,68.878594055,0,17.441011571,19.616367911,26.481094373,19.028998617,0,0.153876310,0,0,0,0
2012-04-30,128.135528963,74.598099671,0,57.104381510,0.132873661,35.814253219,32.851608073,29.927186359,17.232719727,0,0.105630923,0,0,0,0
2012-05-01,121.116296365,88.089735878,0,60.550722860,8.637052773,26.985120556,51.000670573,52.067797805,15.860704346,0,0.080266310,0,0,0,0
2012-05-02,124.417550683,72.092787724,0,72.552137858,55.140460619,37.159783385,50.148509115,46.278112610,19.147768962,17.634105428,1.139612321,0,0,0,0
2012-05-03,126.401743862,58.946486759,0,81.872063904,84.548378198,52.176241135,43.386477865,46.979343544,12.832085775,62.962790731,4.564372560,0,3.481917318,0,0
2012-05-04,114.650234811,97.251056898,2.390432492,77.065357259,82.299937271,37.138747375,27.734528356,38.043769524,19.259240723,52.732037354,5.738187351,0,9.550488281,0,0
