Day,[SDSC TRESTLES] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[NICS DARTER] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[CCT LSU SUPERMIC] XSEDE Utilization (%),[GATECH KIDS] XSEDE Utilization (%),[OSG] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%)
2014-10-31,99.962903830,86.697598188,40.335555508,76.994349754,95.042806581,77.763739421,74.702827020,0.554081624,2.481954051,0,0,0.000000000
2014-11-01,68.881051645,91.852422865,40.813897222,62.351072437,94.877503452,75.998399455,30.893448864,0.380669352,5.491480208,0,0,0.000000000
2014-11-02,51.423278880,66.844098590,60.623453142,76.716203889,87.896275189,73.266488672,60.432155152,0.465121484,5.096743833,0,0,0.000000000
2014-11-03,75.963129455,79.841781515,87.782532156,92.846738553,83.848147392,66.467393392,96.615512942,0.479257406,5.234349306,0,0,0.000000000
2014-11-04,105.907998684,99.270816971,84.466575916,92.355217226,40.825266533,74.159035034,95.459999369,0.491807861,3.645090683,0,0,0.000000000
2014-11-05,112.432268874,97.793860099,33.974386798,88.157069399,46.235278172,80.350924988,60.319778409,0.098216960,9.557269155,0,0,0.000000000
2014-11-06,109.693707516,96.549886942,107.331236044,84.187275987,89.049229502,81.173511861,63.850308712,0,1.976761748,0,0,0.000000000
2014-11-07,114.377456907,101.269852029,69.181818492,85.278919049,88.395767539,79.624538879,58.463804609,0.001880697,4.000208970,0,0,0.000000000
2014-11-08,105.927573739,97.047911801,135.819533984,83.289567274,88.853772195,71.549913228,35.576669192,0.000867920,5.572058275,0,0,0.000000000
2014-11-09,80.457129251,90.044315019,136.170682443,74.742208446,82.905478220,63.734714050,27.639958333,0.000831706,5.349910012,0,0,0.000000000
2014-11-10,130.802888639,86.860843462,117.249763323,90.858911843,65.361540897,68.330751953,30.579510417,0.436948242,5.593441377,0,0,0.000000000
2014-11-11,97.085592746,94.405544139,138.623634683,93.345622590,70.642698568,80.446429036,46.968925505,0.084201253,5.221932870,0,0,0.000000000
2014-11-12,92.473752170,98.306611994,155.069466937,92.360592452,92.073837299,80.944200338,37.247685290,0.084463298,4.906835243,0,0,0.000000000
2014-11-13,91.249221046,99.312307154,160.487565931,94.615618209,78.231126401,82.500407206,7.026234533,49.935583089,5.212734722,0,0,0.000000000
2014-11-14,65.470716042,103.265003879,179.434801558,88.801417245,74.271995344,82.032095642,19.167438447,8.163601074,5.228205324,0,0,0.000000000
2014-11-15,61.798035393,103.278168719,110.338384877,97.282959206,43.527611072,82.458753967,18.558168561,0.580729167,2.785635301,0,0,0.000000000
2014-11-16,96.714909428,103.074243371,144.380249986,93.946840847,66.518238143,67.554791667,16.661300505,3.200557048,2.338667072,0,0,0.000000000
2014-11-17,84.974152612,99.102940314,138.006228347,92.117799732,79.384263731,65.822925517,53.948688447,0.290174561,2.785538831,0,0,0.000000000
2014-11-18,89.956852127,92.146245930,166.270683054,90.658728394,93.129493864,80.795988871,12.178574179,6.916350505,2.640641088,0,0,0.000000000
2014-11-19,86.526721069,101.471087748,177.759505460,85.771617567,73.968600852,78.817604065,1.747983270,7.751564128,2.435407002,0,0,0.000000000
2014-11-20,99.402793279,103.269450324,187.404955075,87.085167322,79.773814512,75.195615540,1.349221275,3.003815918,3.134818692,0,0,0.000000000
2014-11-21,88.693571911,98.552402674,180.764387697,88.264414316,82.807287622,72.800048319,10.495861742,0.000325521,2.950019271,0,0,0.000000000
2014-11-22,85.739033220,74.361883997,182.272214549,76.524374340,88.217934422,65.139178365,15.548698548,0.000036214,1.312786111,0,0,0.000000000
2014-11-23,51.440315784,83.606827104,174.384537401,62.913644513,88.274375493,63.074060262,43.503437184,0.000036214,1.371309144,0,0,0.000000000
2014-11-24,60.997490562,97.269433315,162.640298976,42.821719835,80.557506412,53.680049337,24.790369003,0.057400309,1.395042419,0,0,0.000000000
2014-11-25,70.381402254,99.315617611,149.206693140,15.706039185,84.314718474,67.217276510,37.861076389,0.000036214,1.410146528,0,0,0.000000000
2014-11-26,79.848725933,93.381212079,151.455072118,94.267535161,81.231104502,70.515746867,32.634592803,0.000036214,1.390342072,0,0,0.000000000
2014-11-27,69.935531202,85.989797655,181.552380690,90.911411142,84.143071634,74.835146586,9.422103220,0.000036214,0.641107234,0,0,0.000000000
2014-11-28,68.185355754,89.131126307,138.443184817,69.185260769,87.590426728,68.401696879,22.806133838,0.000072428,0.897768750,0,0,0.000000000
2014-11-29,53.271372596,80.885424616,187.695374835,59.521361780,89.168779889,54.854148458,18.444058081,0.000036214,0.008420081,0,0,0.000000000
2014-11-30,56.151609118,77.769442731,183.280325952,62.779906535,32.095735578,45.877857259,19.286019571,0.000090332,0.910095139,0,0,0.000000000
2014-12-01,88.193652229,72.219818079,168.831964851,71.107654414,79.924036458,47.650241292,18.126315341,0.000036214,1.459497164,0,0,0.000000000
2014-12-02,76.178968943,72.721207371,132.218612526,78.837670822,26.895666824,57.723479004,13.076458965,4.303421631,1.819753125,0,0,0.000000000
2014-12-03,82.354323973,97.368306511,126.400411775,82.723741347,57.524305556,63.104645589,15.151918561,0,2.143422049,0,0,0.000000000
2014-12-04,81.701924994,95.054951627,161.033404948,96.795926966,91.879910235,67.936794434,23.170051136,0.033447266,1.063731366,0,0,0.000000000
2014-12-05,92.492483913,101.330416393,174.955820277,93.654930008,85.242060448,67.823793538,20.870351957,0.204137777,2.808481308,0,0,0.000000000
2014-12-06,103.405558196,98.239081077,147.178570010,85.451681057,90.170077632,47.975206197,12.100992109,0.848723145,1.598479340,0,0,0.000000000
2014-12-07,92.507031480,95.428442380,153.468347110,86.489359456,87.143952513,27.993747355,10.752105429,0.000036214,2.665911169,0,0,0.000000000
2014-12-08,118.725145939,98.891773426,129.563094678,90.422717036,82.618213384,50.614745992,27.883681187,1.059678955,3.645675810,0,0,0.000000000
2014-12-09,115.183535420,103.732585324,47.666810543,93.132347932,86.333491162,45.938937480,30.556449811,0.000036214,2.849315220,0,0,0.000000000
2014-12-10,107.729907499,102.220856326,85.690102512,93.795501619,77.970253906,51.901235555,16.322058081,0.154658610,1.684747975,0,0,0.000000000
2014-12-11,112.433688076,103.059575849,170.492598376,90.245352892,83.479337713,46.179529215,42.596257891,0.782651367,1.398829745,0,0,0.000000000
2014-12-12,97.447057912,103.655388875,176.091758100,87.679970839,83.565954565,48.943467916,54.991688131,4.829110921,3.452668403,0,0,0.000000000
2014-12-13,90.572702351,103.069903287,155.618800537,91.890597087,93.342189177,50.669474487,42.052959912,2.930103353,2.618502488,0,0,0.000000000
2014-12-14,61.432160827,100.578465588,127.715344800,87.248744575,93.935075560,49.792955221,56.546488636,0.000000000,5.017849769,0,0,0.000000000
2014-12-15,61.678224436,102.250330257,140.171085225,72.084638672,95.523893426,53.468392741,38.589663826,0.000036214,3.858294676,0,0,0.000000000
2014-12-16,107.106466555,100.384041258,120.059974138,85.771226368,95.070588502,53.495090129,32.943988636,1.432960612,4.708407234,0,0,0.000000000
