title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2015-08-01,2016-01-31
---------
Day,"[PSC GREENFIELD] XSEDE Utilization (%)","[SDSC GORDON] XSEDE Utilization (%)","[TACC STAMPEDE] XSEDE Utilization (%)","[NICS DARTER] XSEDE Utilization (%)","[SDSC COMET] XSEDE Utilization (%)","[TACC MAVERICK2] XSEDE Utilization (%)","[CCT LSU SUPERMIC] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[OSG] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)"
2015-10-08,10311.996666667,107.428969245,89.058350658,88.931895526,82.217975691,98.975168561,20.625945313,0,0.000000000,0
2015-10-09,11529.253750000,95.196407726,83.599994394,74.448439258,80.084595147,80.461788194,25.928482002,0,0.000000000,0
2015-10-10,7188.402916667,97.213580603,68.591976553,96.928868462,65.903536939,30.462366793,19.429864410,0,0.000000000,0
2015-10-11,4195.468750000,89.489671534,53.571949752,96.891815759,61.664370573,12.549839331,10.195775463,0,0.000000000,0
2015-10-12,5615.260416667,77.921203094,87.188794452,96.379059039,73.145940670,23.831842803,23.817897859,0,0.000000000,0
2015-10-13,5292.465000000,107.204787311,95.776642854,96.077399582,88.481228768,57.775638258,35.731041088,0,0.000000000,0
2015-10-14,12978.576666667,108.104196423,90.373532136,72.922201400,83.101966305,80.802223801,39.980603704,0,0.000000000,0
2015-10-15,10169.722083333,104.864306166,94.291203107,60.281596663,78.303993201,58.535634470,26.940383796,0,0.000000000,0
2015-10-16,14120.138750000,102.331670247,94.296833519,67.118430374,87.874495070,43.214242740,45.440528472,0,0.000000000,0
2015-10-17,19425.746666667,104.287583037,90.653855216,58.282017322,58.442678566,18.997439394,55.350540104,0,0.000000000,0
2015-10-18,6011.840833333,103.174644844,96.705820606,90.803637900,57.975360211,9.173067551,53.586291204,0,0.000000000,0
2015-10-19,16653.957916667,105.668335356,99.864823039,36.744834310,62.669864591,19.247176768,36.990538426,0,0.000000000,0
2015-10-20,29226.285000000,102.977755277,96.963363069,21.455528639,76.328764364,27.185290404,40.238200868,0,0.000000000,0
2015-10-21,20991.962083333,100.468062358,95.436024129,61.256144111,85.506572811,30.186850694,56.086461690,0,0.000000000,0
2015-10-22,18350.329583333,104.104758101,97.291541477,61.621134135,80.912750106,26.770956124,57.079980035,0,0.000000000,0
2015-10-23,11845.902916667,103.374758566,97.309595228,95.888157476,86.470248885,19.831755051,62.611480787,0,0.000000000,0
2015-10-24,12883.367916667,103.558669160,98.542194720,98.959212599,80.919028925,19.455878472,55.549360301,0,0.000000000,0
2015-10-25,6000.000000000,104.672635919,94.372465147,101.018950148,64.960093418,16.662282828,42.697890914,0,0.000000000,0
2015-10-26,5942.257083333,106.319676507,96.963721481,94.339521107,64.108147407,20.159547033,38.133204745,0,0.000000000,0
2015-10-27,5758.854166667,106.246834862,91.646759870,72.213973297,83.281373923,30.157669508,35.280523380,0,0.000000000,0
