Day,[NICS DARTER] XSEDE Utilization (%),[SDSC TRESTLES] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[GATECH KEENELAND] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[NICS KRAKEN] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[TACC LONGHORN] XSEDE Utilization (%),[GATECH KIDS] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%)
2014-03-18,0,73.092368804,66.515058485,46.162424954,92.776949081,55.964422826,85.840558370,82.242251600,0,0,2.102758391,0.015453288
2014-03-19,0,74.390417861,71.189069572,76.135730740,71.304577711,70.929432509,79.534527588,84.058994823,0,0,2.106394676,0
2014-03-20,0,94.564120657,100.455373955,84.034654930,76.438508720,54.709608658,66.795129598,92.391257219,0,0,2.083844618,0
2014-03-21,0,89.180799151,101.478577321,71.158495045,95.592421678,45.054141517,65.791481323,93.932467725,0,0,2.417575521,0
2014-03-22,0,98.272209075,102.347292201,41.297210770,95.873062066,8.294963577,52.433950806,82.021660784,0,0,4.166616030,0
2014-03-23,0,83.644830362,100.042464209,91.113087136,80.805538096,10.593752069,43.162380676,92.256829183,0,0,3.678930266,0
2014-03-24,0,111.718932739,93.045327339,86.329687925,87.204019393,31.328023941,73.831479492,77.546378987,0,0,2.090154803,0
2014-03-25,0,131.429708857,98.036829358,90.702217561,94.613128058,48.229989480,73.647506612,84.481908017,0,0,4.167484086,0
2014-03-26,0,128.608642492,89.170145484,90.680395368,94.913908913,70.351643880,68.249552307,91.986524227,0,0,4.166577546,0
2014-03-27,0,94.942392458,49.895495501,92.278524061,94.467456499,39.406344484,70.646968180,94.574829068,0,0,4.170459491,0
2014-03-28,0,60.612392584,33.942406884,96.370660527,84.210691978,49.694675619,70.422860718,59.986339799,0,0,4.160320313,0.001338298
2014-03-29,0,45.586886677,64.907403502,97.337404505,76.543122238,32.167783323,67.819652812,72.222205481,0,0,3.376417824,0
2014-03-30,0,32.140044918,92.386677608,88.066895562,62.298326330,42.292863553,55.253680115,77.238119228,0,0,2.799525174,0
2014-03-31,0,42.179205534,94.272186835,88.945260584,53.697732501,51.456562969,50.470793457,84.805640065,0,0,0.380659722,0
2014-04-01,0,77.893622260,90.219987633,90.122717719,11.168942156,49.400738307,51.940316467,83.286268365,0,0,0.384671586,0
2014-04-02,0,104.747082943,94.677591425,94.435688553,47.042179411,56.141514435,52.876768087,88.532301499,0,0,2.083369502,0
2014-04-03,0,115.005978962,97.004531885,90.812667046,56.408266552,65.422240613,61.573549703,86.941422378,0,0,3.126453993,0
2014-04-04,0,81.951372642,66.221806680,87.235589550,85.168600063,74.015038925,74.637008362,85.015763162,0,0,3.133902199,0
2014-04-05,0,41.751103785,39.674370255,94.568415853,40.520368529,94.560888718,62.564579976,89.151436082,0,0,1.594097222,0
2014-04-06,0,80.620641408,99.361113277,91.031544397,55.687636028,88.107723120,47.983990885,87.809486519,0,0,0.541302662,0
2014-04-07,0,104.179675788,102.197243298,89.690934227,62.231065045,61.745510387,59.183941447,92.320126484,0,0,2.584454572,0
2014-04-08,0,127.513603671,98.511303023,93.285172155,58.360527936,111.875269796,72.841371460,61.847496693,0,0,3.126728877,0
2014-04-09,0,121.944934046,98.885046583,95.015156942,66.438508621,68.811726382,79.273528035,87.340352448,0,0,3.063317419,0
2014-04-10,0,107.996920068,100.669549722,95.783671857,74.844171106,71.029876422,69.460652669,75.358457112,0,0,2.431414063,0
2014-04-11,0,113.026601023,102.816483486,98.724033040,89.080974787,39.782415990,62.792083130,75.703923781,0,0,1.512463831,0
2014-04-12,0,91.584522834,99.803875947,96.231699910,87.800548552,66.932015250,54.104899089,75.603702862,0,0,1.688623843,0
2014-04-13,0,98.225985174,95.248038917,87.700525924,89.566726148,60.036579714,59.548344421,77.534650135,0,0,1.846621817,0
