Day,[PSC GREENFIELD] XSEDE Utilization (%),[SDSC GORDON] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[SDSC COMET] XSEDE Utilization (%),[PSC BRIDGES] XSEDE Utilization (%),[NICS DARTER] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[PSC BRIDGES LARGE] XSEDE Utilization (%),[CCT LSU SUPERMIC] XSEDE Utilization (%),[Stanford XSTREAM] XSEDE Utilization (%),[OSG] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%)
2016-05-19,4289.565833333,107.575128840,81.084167847,83.536132498,0,77.982739762,28.660108270,0,24.915062269,0,0.000000000,0
2016-05-20,4973.541666667,107.336248052,89.114786070,85.318589879,0,20.838576856,60.686184343,0,38.131436516,0,0.000000000,0
2016-05-21,7607.014166667,107.215678914,90.794642533,82.266630533,0,43.829103701,9.606761995,0,40.202825984,0,0.000000000,0
2016-05-22,6104.513750000,106.622807960,89.153079382,83.544711847,0,84.473097212,12.905092803,0,35.403873900,0,0.000000000,0
2016-05-23,851.580000000,84.023672078,81.310400359,81.737431785,0,85.126321946,6.767396149,0,30.441206887,0,0.000000000,0
2016-05-24,73.489583333,95.028108742,73.988271055,83.086674017,0,78.901388389,10.050083649,0,25.212808681,0,0.000000000,0
2016-05-25,1485.868333333,95.500404292,84.759708962,82.544807124,0,72.441664269,31.815849747,0,38.620968229,0,0.000000000,0
2016-05-26,2899.496250000,105.754478870,86.455192690,81.101076808,0,79.210355439,30.140677399,0,36.905018519,0,0.000000000,0
2016-05-27,2037.239583333,101.964949273,82.908176821,82.956445472,0,98.491306336,22.033406881,0,50.455224363,0,0.000000000,0
2016-05-28,2068.333333333,106.006151240,92.728613078,71.346408154,0,91.835185265,25.541789457,0,60.656237095,0,0.000000000,0
2016-05-29,1600.712083333,101.756809034,94.207148343,67.970241006,0,74.787039535,16.783722854,0,77.210712384,0,0.000000000,0
2016-05-30,1542.500416667,80.178988111,86.076313870,72.532080728,0,82.171503019,27.872035985,0,43.976665278,0,0.000000000,0
2016-05-31,3907.170000000,60.702064559,83.541629774,63.211550886,0,75.488842928,42.612233270,0,52.657841377,0,0.000000000,0
2016-06-01,4699.287916667,67.470765813,75.075670704,77.369027423,0,89.127125477,60.258171402,0,9.671871759,0,0.000000000,0
