Day,[SDSC GORDON] XSEDE Utilization (%),[TACC STAMPEDE] XSEDE Utilization (%),[SDSC COMET] XSEDE Utilization (%),[NICS DARTER] XSEDE Utilization (%),[TACC MAVERICK2] XSEDE Utilization (%),[SDSC TRESTLES] XSEDE Utilization (%),[PSC BLACKLIGHT] XSEDE Utilization (%),[CCT LSU SUPERMIC] XSEDE Utilization (%),[NICS NAUTILUS] XSEDE Utilization (%),[OSG] XSEDE Utilization (%),[TACC LONESTAR4] XSEDE Utilization (%)
2015-05-17,95.680659485,84.784697541,65.095922680,58.164107781,60.297137626,0,52.254493713,41.515184549,0,0.000000000,0
2015-05-18,90.225053413,89.725853177,63.808133899,41.350990690,28.920595013,0,49.354700216,58.615387153,0,0.000000000,0
2015-05-19,105.268855027,96.980625529,78.651785034,42.396034061,54.000649306,0,53.016850586,59.131603646,0,0.000000000,0
2015-05-20,106.410436286,94.408134734,83.876184035,39.579205373,81.806590593,0,54.247400513,54.371238426,0,0.000000000,0
2015-05-21,105.122097151,90.645301053,82.505325963,37.035245094,63.731078598,0,51.384561768,84.827257002,0,0.000000000,0
2015-05-22,104.561626549,95.194792503,85.906554357,40.020181912,61.832561553,0,44.865659993,55.695270544,0,0.000000000,0
2015-05-23,97.695683954,94.491996383,75.048077926,45.782841755,40.321636048,0,42.620935364,93.257986111,0,0.000000000,0
2015-05-24,74.993745582,97.300908443,55.046262160,30.038467330,15.340891414,0,41.901141052,65.620061806,0,0.000000000,0
2015-05-25,79.349484838,87.856450354,57.305152324,29.485696167,26.708824811,0,47.031629842,30.439085127,0,0.000000000,0
2015-05-26,97.099127229,95.788915771,59.079689823,32.918196035,34.331720013,0,40.430442607,33.435464699,0,0.000000000,0
2015-05-27,97.656183168,98.628869561,68.437208368,40.864966625,43.177258207,0,45.910667419,46.438911285,0,0.000000000,0
2015-05-28,97.720355852,99.680569227,55.944006709,68.199123032,29.385836806,0,43.964066162,47.897939178,0,0.000000000,0
2015-05-29,101.460391925,96.903605478,52.695693151,22.166817278,55.127963384,0,43.999923299,37.763641204,0,0.000000000,0
2015-05-30,102.312089326,99.021867739,42.852286420,19.868530548,112.686412563,0,42.517867635,43.881388194,0,0.000000000,0
2015-05-31,100.369397674,95.651577365,33.492851339,22.263859414,128.738863952,0,36.785689494,25.071280324,0,0.000000000,0
2015-06-01,100.095392555,94.960256316,40.509379910,45.017224348,36.216381629,0,38.170645040,53.105526389,0,0.000000000,0
