title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2011-02-01,2011-07-31
---------
Day,"[NICS ATHENA] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[PSC POPLE] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[SDSC TRESTLES] XSEDE Utilization (%)","[NCSA LINCOLN] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[LONI QUEENBEE] XSEDE Utilization (%)","[NCAR FROST] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NICS NAUTILUS] XSEDE Utilization (%)","[NCSA ABE] XSEDE Utilization (%)","[SDSC DASH] XSEDE Utilization (%)","[IU BIGRED*] XSEDE Utilization (%)","[NCSA EMBER*] XSEDE Utilization (%)","[TACC SPUR] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[ORNL NSTG] XSEDE Utilization (%)"
2011-04-16,97.926117298,41.311833694,81.847847311,94.771591254,33.230764590,64.389385667,11.059431695,78.978343913,28.863905233,20.812711140,34.964192607,33.896279337,1.584617513,0,12.227575684,8.985894097,5.633996853,0,1.152147798,0.014799107
2011-04-17,93.357781518,43.616107442,91.509167242,105.743170030,51.813908877,69.329027847,37.788561740,79.457062683,18.625578613,41.239670113,15.156168569,34.963599757,1.610143636,0,4.539858398,8.912054986,4.448087294,0,1.143877321,0.014970238
2011-04-18,93.328147025,103.005706684,93.501150395,115.151130100,84.202345166,62.445978583,43.690007595,68.845120341,71.271090902,53.561216083,31.984546865,33.850836833,15.196758219,0,6.311016439,7.585649685,2.774057075,1.246673177,1.211524464,0.011703869
2011-04-19,97.858325091,27.263434999,88.095769698,110.464951172,86.860178156,42.628494900,12.132619629,46.914807841,82.902985636,45.226389175,36.066171214,29.170235396,17.729844564,0,4.748933919,5.852014431,5.413049859,2.498264974,1.541763482,0.011116071
2011-04-20,98.832959562,61.066511447,48.556897008,112.302830404,82.425071370,49.334352897,37.255611979,49.498390401,81.746111857,39.113528256,36.254096171,28.399348813,12.734383545,0,0.440700684,3.622823622,6.069002007,1.122685547,1.498202976,0.015044643
2011-04-21,94.836103031,155.755540981,99.647156579,77.426764323,71.935497425,63.604184464,61.950364041,78.497422485,69.266710205,45.504622630,35.352502950,26.115585106,7.986409098,0,1.012135417,2.005158556,7.179695095,0.600260417,1.540526786,0.014635417
2011-04-22,90.978505675,64.308828787,98.451649324,76.194003364,36.951709732,67.129105696,61.507957899,82.015100301,40.322347412,41.278957788,25.423457489,20.839887260,7.462691650,0,4.443829753,1.056929932,6.658366428,2.525895182,1.556932381,0.014880952
2011-04-23,88.006814883,0.583822534,98.513572838,102.674809570,9.795688450,83.773810270,59.571066081,80.943743490,0.087492676,48.344659743,37.656819560,28.998852009,12.017731934,0,4.956452637,1.430247938,5.591134440,0,1.430572589,0.015334821
2011-04-24,93.629128435,74.357047434,92.228211842,96.385983073,44.736681884,54.487055064,60.724808485,66.938295695,26.656892090,64.191235576,35.755036519,27.935149659,16.319633789,0,1.192237956,1.335061849,5.581672635,0.041956380,1.360970565,0.014382440
2011-04-25,97.495610178,142.665309088,91.718290115,81.488889974,73.087837357,33.611141596,67.167100694,77.673036601,69.782501831,64.218692849,28.187373454,28.412373787,6.509322510,0,6.567998047,1.748254666,5.144833442,2.085937500,1.285714286,0.012358631
2011-04-26,98.153569671,132.199688640,81.207235723,82.168584527,79.873670949,67.398934508,77.100766873,72.808272807,76.931016439,48.219186705,27.882875773,34.070037036,10.466191406,0,9.765588379,1.720785997,5.299590929,0.745514323,1.286319435,0.014010417
2011-04-27,82.092106720,162.426022126,82.976436532,105.597958442,84.396931655,90.982820193,58.562078179,80.073025309,58.767066650,57.549958910,22.392840424,42.264216242,17.414758708,0,8.615541178,1.374249539,5.396355523,1.648004557,1.287355179,0.013720238
2011-04-28,72.147108290,52.011882522,99.872356586,104.726440972,88.217609043,91.133043178,68.049985623,80.979587402,71.018784587,49.410129195,23.170536702,40.885215041,3.899802246,0,1.144892578,2.033376329,5.141406521,1.304833984,1.293078274,0.014136905
2011-04-29,74.245969637,100.638330262,78.405867288,106.890859918,88.789464776,104.958685034,66.107361925,86.249525859,83.783763835,51.071282747,22.602728831,28.761279745,16.990784912,0,0,1.742730035,5.493488227,2.791376953,2.010000833,0.014970238
2011-04-30,0.030927827,187.568553860,0.045847384,105.167486979,89.898674211,85.400518709,81.799600152,85.928304036,86.533655396,44.178867967,60.460865173,23.174613020,1.757052816,0,0.148147786,1.331319716,5.453813205,0.077255859,4.319492173,5.120729167
2011-05-01,48.417789967,184.651406268,89.252495660,105.853461914,89.602063564,82.046529959,81.933105469,82.733407593,74.633351034,40.162910507,51.606879272,20.872901211,8.937653809,0,0.584707845,0.953417291,4.932148166,0.546731771,2.878040833,0.015178571
2011-05-02,75.223164247,151.410305125,95.219302382,109.074001194,84.374058385,77.159183190,68.569251302,82.197098490,56.079417928,52.600498612,74.364737040,31.052320945,1.279477946,0,0,1.044627957,5.837396918,2.244648438,2.296627202,0.010714286
2011-05-03,80.238143515,77.186218790,96.606998919,107.227119141,83.710164130,96.767441257,53.446656901,80.882609151,57.142994181,54.401866345,55.077275035,40.038022000,7.025137533,0,0,2.012310927,7.725486925,1.146555990,5.695395595,0.007187500
2011-05-04,87.852752567,184.378201369,92.578669244,89.799268121,78.890142190,111.699760481,48.269290365,86.943974406,59.781756388,60.107094717,35.895516866,34.257448442,18.637197673,0,2.553240560,7.383870443,8.159768338,4.878180339,4.286567440,0.002105655
2011-05-05,85.671949454,185.310489173,88.289874722,66.204035373,84.479731320,90.995953667,48.018898112,81.620379130,43.332564697,52.624758998,42.537362518,46.035576416,4.440059001,0,12.918312988,9.477188992,6.732340495,1.589264323,3.721287143,0
2011-05-06,82.939461875,148.580940571,92.426746977,88.656455078,82.224527327,89.800256570,46.790991482,89.498485718,40.590128581,38.108531219,39.509394836,46.422038715,21.755686442,0,9.770851237,7.114039307,5.183604329,5.241464844,1.294123244,0.004717262
2011-05-07,90.508959141,177.048339706,98.625484484,84.996213650,79.977768131,63.952404893,40.736273329,82.657185872,46.188756714,51.953313841,33.957338715,41.588061893,9.026294759,0,0.258318685,8.799016520,6.356002875,2.590569661,1.285745119,0.011741071
2011-05-08,82.467475944,188.292868381,98.095984361,78.430296224,80.944085194,54.041945168,63.978449164,70.751066996,56.862354736,31.995538376,37.951018168,38.706300392,13.232602539,0,0,8.453094482,7.093355577,0.279947917,1.285744970,0.013973214
2011-05-09,52.785919239,174.216693288,97.553857104,75.683936089,85.908648652,61.880085588,75.348777669,73.366875712,51.521660970,32.043128976,31.568033905,48.503561788,8.869854736,0,0.847981771,7.744742025,6.290198839,8.328125000,1.285744464,0.014501488
2011-05-10,88.550864939,143.126728801,84.740765125,43.874525825,84.043183726,71.085023860,77.693534885,51.131379598,18.607611694,35.484505052,50.771520437,43.844522676,7.422336833,0,2.267631836,7.414285753,5.598502333,11.800341797,1.285744554,0.014680060
2011-05-11,82.869868337,168.343555653,91.944855350,27.521983507,86.653138411,98.732184595,76.503248969,25.136072083,54.970115560,62.584629413,57.830828756,46.656492686,17.022460938,0,2.000434570,7.767775472,4.343529460,12.278502604,1.285744792,0.016986607
2011-05-12,87.360324713,164.377239151,87.216896159,89.982711589,84.722537150,122.040042565,79.250011936,74.746093750,65.051084188,49.929268338,50.050591431,48.424782685,17.849364827,0,1.332482910,9.368036160,4.280776638,2.702112630,1.352845089,0.014389881
2011-05-13,96.699494519,197.540452538,81.237261019,101.703949653,87.880555933,107.761101581,78.002598199,69.214934489,58.136944987,49.655080464,36.634467163,56.675237495,24.777903646,0,0.025029297,7.440506592,5.296530762,2.968170573,2.251854583,0.014672619
2011-05-14,92.599663975,201.046696699,95.319335428,94.347675239,86.883192718,114.858084399,79.220721571,57.822722168,40.712736816,62.989526104,55.353723653,65.129518827,27.129077962,0,0,8.122418484,4.153167860,1.345052083,1.333111101,0.014747024
