title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2013-02-01,2013-07-31
---------
Day,"[SDSC TRESTLES] XSEDE Utilization (%)","[SDSC GORDON] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[TACC LONESTAR4] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[GATECH KEENELAND] XSEDE Utilization (%)","[TACC STAMPEDE] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NICS NAUTILUS] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[GATECH KIDS] XSEDE Utilization (%)"
2013-03-14,64.816904808,74.279265224,31.764581625,75.423584950,78.205873718,33.318181720,49.447675754,58.052580137,3.618878988,13.214292196,0,0.474249107,0
2013-03-15,69.143017779,104.849778068,83.763493248,53.748384672,81.125049744,31.318326527,42.823349288,57.151897630,3.868806966,10.318929240,0,0.462637917,0
2013-03-16,62.171882578,69.338799305,77.053985634,48.392077292,79.500660095,47.510578737,30.120493137,57.607965601,2.648166097,2.384901326,0,0.136772470,0
2013-03-17,53.371885219,75.613147024,95.495963468,63.145958024,62.251668396,14.690595407,26.512294994,50.159766937,4.823512777,5.317997437,0,3.407317083,0
2013-03-18,74.462135899,63.099399870,95.409677712,41.374125646,82.867544759,34.349493273,20.819103457,54.748305688,1.337519531,8.879096069,0,3.441711369,0
2013-03-19,75.228848552,62.089934535,96.336554115,44.165061959,76.302944641,0.286195253,22.841845676,54.875153101,0,2.832492269,0,0.141345030,0
2013-03-20,96.613727679,75.433928995,97.427275121,66.437546943,82.949336141,0,71.266160717,52.788335433,0,4.410798136,0,1.710262351,0
2013-03-21,119.044630399,74.992437441,97.043814779,49.520098705,77.228271688,0,66.536750958,53.610581199,0,4.610292765,0,3.163655119,0
2013-03-22,126.139246675,83.413682388,94.696947471,49.682499025,81.932440491,0,64.026368526,56.895778684,0,7.432490641,0,0.683942321,0
2013-03-23,123.650329540,83.340045445,95.137449367,55.079329611,79.533881327,5.841571082,46.425052445,54.009305070,17.843496908,24.582808838,0,0.705787054,0
2013-03-24,125.276674853,78.259864933,98.835682830,54.444821644,76.178173014,10.332912326,42.771892307,55.571369506,58.849392497,38.443847453,0,2.154399494,0
2013-03-25,126.229243655,74.721867228,93.807501561,51.813731646,70.155795898,15.199745009,51.611984199,59.447090157,38.664243164,40.132871094,0,0.484503988,0
2013-03-26,124.367373799,70.668286724,84.613413507,38.706184850,76.778291117,56.384355765,63.778429000,58.529084838,34.247323405,30.032619832,0,1.576216875,0
2013-03-27,111.264460301,67.330791117,68.234939716,48.772853723,75.295886943,86.990999250,57.639514784,56.336471573,44.404215902,19.789220378,0,0.702680149,0
2013-03-28,112.142460088,92.989575261,56.217855135,67.362974902,77.967678019,84.737408558,70.814038194,50.265884717,14.086652018,20.214278971,0,1.254440536,0
2013-03-29,90.589243747,89.170759256,93.553087683,56.424957931,72.952349548,91.039483704,77.509583930,46.357439693,42.052029215,35.465707397,0,0.638199196,0
2013-03-30,74.128240626,86.125677173,93.185302819,60.920984967,76.392463074,83.202283183,54.118932454,50.043071400,42.428638916,30.659383138,0,0.475317292,0
2013-03-31,45.580483849,69.540533088,57.200564188,33.691826071,78.284394430,71.637345526,43.973637618,50.247900394,12.112430827,28.412764689,0,0.134010625,0
2013-04-01,69.469925894,91.268354794,80.045942863,34.004574487,62.826334534,66.297304688,22.310164867,25.496627590,0.238118490,12.023934530,0,1.002482411,0
2013-04-02,65.500326210,109.800121085,96.578788970,58.686836269,66.965196228,57.831820747,24.886697225,15.747601892,12.607032878,12.869995321,0,2.149353095,0
2013-04-03,58.764637242,91.600092325,96.468358024,77.312980327,65.370564677,81.454049874,61.915657918,25.771334045,6.682236735,7.113168132,0,0.624627054,0
2013-04-04,86.349578373,88.268015532,97.283846826,99.753450153,62.476983439,61.037624388,59.572415564,30.095898190,8.748409017,13.893107300,0,0.264705387,0
2013-04-05,100.734718261,101.954555865,97.556352487,101.078703075,49.560526733,66.197438940,53.395631791,25.933968948,2.328713379,13.034211222,0,0.335319107,0
2013-04-06,77.549794985,92.323893342,97.292585410,109.891707449,41.364022929,44.595179036,51.768281408,33.175721060,9.159894206,10.739565633,0,0.381328631,0
2013-04-07,63.310736561,68.654112601,70.434958321,54.226653627,34.833192851,58.986338976,45.111826448,29.777724372,98.524666748,15.097452799,0,0.314383185,0
2013-04-08,81.605919370,86.721142559,71.872625259,47.183365012,29.865318095,55.252731317,59.247406273,21.743664322,66.835883789,10.549949341,0,0.324759286,0
2013-04-09,89.575785671,82.486948680,86.178173529,18.858681521,35.531272481,42.646718849,64.570104537,21.361046741,45.252423503,9.670297038,0,0.466960982,0
2013-04-10,78.368112163,71.165700279,96.878324465,52.900724560,47.662192790,48.214409920,66.879434285,28.745773085,68.601236979,10.769337158,0,0.725135387,0
2013-04-11,75.511699230,65.251581836,98.097057882,72.290728817,61.837554118,73.846871449,56.087196845,35.283464562,59.667255452,14.652628784,0,0.248864048,0
2013-04-12,105.777523504,103.766087750,94.598936141,65.422950460,44.665081685,85.474883404,55.243273352,35.996309607,27.703504639,10.570719401,0,0.981735923,0
