title
"XSEDE Utilization (%): by Resource"
parameters

start,end
2010-08-01,2011-01-31
---------
Day,"[NICS ATHENA] XSEDE Utilization (%)","[PSC POPLE] XSEDE Utilization (%)","[NICS KRAKEN] XSEDE Utilization (%)","[TACC RANGER] XSEDE Utilization (%)","[NCSA ABE] XSEDE Utilization (%)","[NCAR FROST] XSEDE Utilization (%)","[LONI QUEENBEE] XSEDE Utilization (%)","[PURDUE STEELE] XSEDE Utilization (%)","[NCSA LINCOLN] XSEDE Utilization (%)","[TACC LONESTAR] XSEDE Utilization (%)","[SDSC TRESTLES] XSEDE Utilization (%)","[TACC LONGHORN] XSEDE Utilization (%)","[SDSC DASH] XSEDE Utilization (%)","[IU BIGRED*] XSEDE Utilization (%)","[TACC SPUR] XSEDE Utilization (%)","[PSC BLACKLIGHT] XSEDE Utilization (%)","[PURDUE CONDOR] XSEDE Utilization (%)","[NCSA COBALT] XSEDE Utilization (%)","[NCSA EMBER*] XSEDE Utilization (%)","[NICS NAUTILUS] XSEDE Utilization (%)","[ORNL NSTG] XSEDE Utilization (%)"
2010-10-21,95.668026443,98.840499132,85.602154970,85.113197461,35.817438281,44.479284261,22.982058305,33.600874918,21.020302734,38.611168593,0,54.387234090,11.195584310,2.136920437,0.421731771,0,1.556685565,7.579355469,0.519347873,0.003902995,0.015751488
2010-10-22,98.650906564,87.215819227,83.938808856,84.875804248,60.503523351,31.007233683,24.919899654,31.189023656,15.586883681,42.575470462,0,35.775793457,13.580332031,1.855853271,5.213398438,0,0.243725625,7.585871989,0.137663845,0.021676432,0.015453869
2010-10-23,92.612145598,86.009362522,69.554091457,87.250428470,48.870656901,48.584083862,22.543751014,31.247866391,11.561884766,39.447944278,0,28.333894246,24.741048177,3.267239041,5.214410807,0,0.091305833,5.294530029,0.436496853,0,0.015543155
2010-10-24,87.816026891,74.757360026,84.033402553,83.105257638,48.716553689,30.601661987,15.796473069,30.673679195,6.160168457,38.661920234,0,35.057332153,16.327943522,9.847627631,5.214843750,0,0.324631042,4.586132406,0.517481825,0,0.015706845
2010-10-25,58.447172217,67.324838867,82.620012596,78.187807637,54.627285807,56.381483307,22.068730820,29.888818881,9.686429036,42.857110945,0,31.499832764,22.694914551,8.657739258,0.293401693,0,1.558801458,4.797360840,0.617236057,0.029949137,0.015252976
2010-10-26,86.642112284,90.650138889,78.408233883,61.484049181,73.862668446,51.616843923,28.213108549,29.575322765,13.145869141,21.830561858,0,37.534546305,21.772099609,3.022479112,2.148294271,0,1.634576726,6.618728841,0.571980252,0,0.015580357
2010-10-27,96.520608424,91.235058594,87.485739944,4.852090055,74.362426780,59.031566467,32.515931574,42.190375840,19.931512858,16.620697346,0,9.868525594,10.757469076,3.532015788,0,0,0.583608095,7.781346436,0.705316026,0,0.011532738
2010-10-28,99.654275612,87.846275499,83.511224925,20.869640816,62.303073394,37.659432831,43.089976375,40.748403322,21.932623155,34.786265126,0,0.571298014,3.096372070,3.083476427,2.084345703,0,1.168832887,5.277718506,0.911558431,0,0.009546131
2010-10-29,98.547300832,88.777662760,83.511997517,82.209643581,52.006927127,44.526240540,42.686689356,30.042427037,19.276011556,45.198167380,0,0.199236857,15.548430990,3.593343099,0.796731771,0,1.000391696,6.037940267,0.487829861,0,0.009345238
2010-10-30,98.270074316,69.410788303,83.018816964,84.453149361,65.341337891,68.323233134,19.145185410,24.445623775,20.559998101,33.827662243,0,0.185867920,21.641998698,3.479192166,0.909723307,0,1.067771935,5.353309326,0.693213976,0,0.008802083
2010-10-31,99.165496708,64.862086589,83.949211989,83.356516166,58.703682552,69.447356008,13.294757750,29.276942831,14.297936198,31.994964969,0,0.458229574,18.952871908,2.196373562,0,0,7.752094256,3.684812419,0.542624783,0.003565674,0.009672619
2010-11-01,95.432277076,70.272564019,85.732415114,83.637435339,58.052679557,43.089626770,33.338583068,31.546148983,12.949162055,31.070122788,0,1.050708618,15.350550130,1.115941162,0.627314453,0,4.850840952,5.283791911,0.447584364,0.016221924,0.009092262
2010-11-02,99.396672369,86.106498481,83.156635927,77.590000761,50.353129774,49.901502838,38.886430187,37.461540279,17.953902724,25.354685645,0,22.963563843,29.374385579,2.359156359,1.947194010,0,3.066181071,5.370245768,0.676326226,0.030164795,0.009255952
2010-11-03,94.365509105,90.105710720,78.100625915,78.839940202,1.113508984,53.542534790,20.565369339,39.542938830,2.558636068,24.145837543,0,35.271041870,42.865759277,5.469485406,1.183736979,0,1.114605685,6.928454183,1.120626899,0.073242188,0.004754464
2010-11-04,99.265257115,92.050843641,87.363355548,81.445156998,29.175326823,38.530038350,29.783152289,44.309888076,5.074857313,27.681163813,0,34.142193807,20.901946615,4.070158827,5.294993490,0,6.786081786,4.568436686,0.900590278,0.080708822,0.009382440
2010-11-05,92.591674285,93.423138563,86.150608499,69.669317511,72.024253385,29.818341268,31.202463121,38.694218108,9.722173665,22.218353311,0,35.603895467,12.592086589,2.406257460,0.187789714,0,3.475846369,4.307082926,0.738779568,0,0.006160714
2010-11-06,89.883056710,89.666956380,85.658341025,40.366684061,66.992090712,44.929497630,27.281423247,26.598202629,10.059017198,20.138827626,0,33.089780273,6.197717285,7.719137234,0.298610026,0,1.494848214,2.242317301,0.978220486,0,0
2010-11-07,93.061751396,70.287286458,86.067033231,50.610164583,56.366143542,24.177326416,32.193597904,25.423156383,12.029560156,15.888602534,0,31.196758008,1.873159375,9.768192969,0,0,0.463957143,0.995123828,1.057388281,0,0
2010-11-08,60.970816480,78.341857096,85.152475878,76.353411835,45.754490625,13.774151815,29.529538111,25.215525383,11.884006348,15.175694777,0,21.585570882,3.818649089,5.770931125,3.020976563,0,2.397970208,0.725184733,1.248904351,0,0
2010-11-09,95.953566993,89.295976563,82.462785809,77.554581884,42.973339063,50.598388621,23.423449975,56.494824853,12.434358453,18.886118365,0,17.919117228,7.921821289,5.567765435,3.333623047,0,2.394332500,0.488281250,1.359403754,0,0
2010-11-10,96.741303030,84.344165582,47.430606978,85.576141533,47.964796224,47.662064209,35.265756768,41.035230205,11.942358941,33.796888913,0,25.820497843,0,4.673136258,5.888160807,0,3.495814137,0.407698975,2.300811903,0.245032552,0
2010-11-11,92.976299844,87.640208876,84.464771645,85.012111307,49.590274002,38.964879913,45.906832117,37.205483448,17.002526042,23.891000499,0,19.272524211,5.299532878,5.621493191,12.200813802,0,3.376388988,0.128248291,1.197631293,0,0
2010-11-12,98.440112132,79.782582465,84.284484662,83.364667155,41.716571267,26.763138377,38.197086686,26.941745987,17.776463216,14.797101170,0,14.579983114,8.492422689,2.603948025,18.230761719,0,3.573914226,0,0.488485786,0,0
2010-11-13,99.134098400,50.542944336,86.311336082,69.571898924,59.425309201,51.541015676,35.626257875,24.627763566,16.417468533,11.808860517,0,23.736540731,5.918076986,2.311449653,10.356044922,0,3.168999940,0,1.206230197,0,0
2010-11-14,84.808326800,55.669849175,85.858406424,77.994847581,50.833633116,45.547227631,24.415862650,35.451863335,15.273250597,17.492011986,0,34.075593058,0.060329590,1.995540636,0.604746094,0,1.959025536,0,1.133823242,0,0
2010-11-15,97.647159427,88.353722331,83.958275529,70.782529171,43.762512500,61.240487467,32.742225549,34.189860372,14.447126736,32.411105665,0,35.169348145,0.653283691,1.396517470,5.725260417,0,5.242905655,0,0.158758409,0,0
2010-11-16,87.791709031,94.973065321,64.791739876,65.367939949,29.129700043,47.993164012,33.164530392,33.817645693,15.735707194,38.828683647,0,35.227792155,0,2.440250380,0.061341146,0,4.090287798,0,0.440050727,0,0
2010-11-17,97.601991403,85.427413194,68.155095556,79.120767032,41.534616189,37.665626780,19.247193270,40.067937605,17.873125543,32.385428867,0,39.290314738,6.498788249,6.810912950,7.973522135,0,6.323034613,0,1.414346246,0,0
2010-11-18,97.731267038,98.185666233,85.052218303,78.258234222,56.724193793,21.688359019,28.158996538,45.077441151,18.782431369,37.783829481,0,41.451009318,11.133753255,5.884126519,4.359811198,0,3.227727917,0,3.230542806,0.122738444,0
2010-11-19,95.711317159,90.106012912,36.713361663,79.190532624,57.645596918,26.583324280,23.628493170,50.172499767,23.968815918,37.088087257,0,45.508210653,8.293854167,7.636965875,3.517509766,0,3.842218780,0,4.929277072,0.450826416,0
