,[CCT LSU SUPERMIC] Wall Hours: Per Job,[NICS DARTER] Wall Hours: Per Job,[OSG] Wall Hours: Per Job,[PSC BLACKLIGHT] Wall Hours: Per Job,[PSC BRIDGES LARGE] Wall Hours: Per Job,[PSC BRIDGES] Wall Hours: Per Job,[PSC GREENFIELD] Wall Hours: Per Job,[SDSC COMET] Wall Hours: Per Job,[SDSC GORDON] Wall Hours: Per Job,[Stanford XSTREAM] Wall Hours: Per Job,[TACC LONESTAR4] Wall Hours: Per Job,[TACC MAVERICK2] Wall Hours: Per Job,[TACC STAMPEDE] Wall Hours: Per Job
2015-10-12,3.33624545,4.07160106,0.30053303,0.0,,,2.19136176,5.06426109,5.57384973,,0.0,2.44428229,3.07177874
2015-10-13,3.54365817,3.90510769,0.68686818,0.0,,,2.45148125,4.91771236,2.47691658,,0.0,3.58051951,3.91139873
2015-10-14,12.50879535,3.87386596,0.7417231,0.0,,,4.676,3.02920955,8.35383281,,0.0,3.4620125,3.25172341
2015-10-15,3.29772642,4.38874918,1.13360965,0.0,,,3.23643704,3.25377535,5.92511166,,0.0,4.45418514,3.74193381
2015-10-16,14.80539178,4.97608922,0.33076647,0.0,,,3.71347692,5.48539256,5.39245523,,0.0,5.01929223,4.02838617
2015-10-17,13.16283128,7.08077632,0.57952818,0.0,,,15.09978889,4.13671989,5.92550025,,0.0,5.49368108,4.83502755
2015-10-18,11.16078874,5.52648169,1.20382232,0.0,,,3.92617692,6.16417877,4.33574902,,0.0,5.40609444,4.19189833
2015-10-19,12.61896964,4.18681942,1.14940599,0.0,,,3.86592222,2.70638308,4.11456793,,0.0,3.46450833,4.14137282
2015-10-20,12.28104054,5.71045933,0.7996495,0.0,,,6.05428108,3.06463529,4.35499018,,0.0,5.78788696,3.79153489
2015-10-21,9.22515399,5.79107634,0.42519531,0.0,,,8.606265,6.57583693,4.12679908,,0.0,3.60022909,3.22189408
2015-10-22,16.93714365,4.54733949,0.72546224,0.0,,,13.74252,5.1872538,4.13930755,,0.0,4.08220465,2.76255291
2015-10-23,10.71961053,4.43897451,0.44777749,0.0,,,4.25575161,5.90236072,4.60123156,,0.0,2.99613582,3.47123929
2015-10-24,16.85270649,7.61316369,0.61351139,0.0,,,8.06230714,4.44150281,4.61666239,,0.0,3.62615893,5.17194786
2015-10-25,12.61468261,7.47222199,1.58210351,0.0,,,24.0,4.55947091,5.16789366,,0.0,4.40630741,4.14904313
2015-10-26,7.75430623,4.70860699,1.06553971,0.0,,,1.791115,5.0648264,5.91476057,,0.0,3.17786596,3.49191802
2015-10-27,7.49912479,4.38177523,0.79782208,0.0,,,13.1631,5.63944666,4.90377337,,0.0,2.79548974,3.76416444
2015-10-28,3.4517461,4.34119187,1.13435657,0.0,,,5.06972,5.33818519,5.05148663,,0.0,2.68837864,3.12156353
2015-10-29,4.84085111,6.3778378,1.04324835,0.0,,,5.56747742,5.80395824,5.8931874,,0.0,3.10310179,3.69170651
2015-10-30,5.81514337,5.96521746,0.94840163,0.0,,,3.88042979,6.56049986,6.27439716,,0.0,3.08542373,3.63156174
2015-10-31,5.75293659,5.85334942,0.91556501,0.0,,,6.95695806,5.102223,6.82550133,,0.0,2.82451707,4.20168057
